host_time_utc,status,skew_ms,ground_truth_x_m,ground_truth_y_m,error_m,solver_x_m,solver_y_m,filtered_x_m,filtered_y_m,solver_rmse_m,solver_max_residual_m,sequence_a0,method_a0,samples_a0,raw_distance_a0,pbr_valid_a0,pbr_distance_a0,pbr_samples_a0,pbr_rmse_rad_a0,rtt_valid_a0,rtt_distance_a0,rtt_samples_a0,rtt_stddev_a0,corrected_distance_a0,filtered_distance_a0,sequence_a1,method_a1,samples_a1,raw_distance_a1,pbr_valid_a1,pbr_distance_a1,pbr_samples_a1,pbr_rmse_rad_a1,rtt_valid_a1,rtt_distance_a1,rtt_samples_a1,rtt_stddev_a1,corrected_distance_a1,filtered_distance_a1,sequence_a2,method_a2,samples_a2,raw_distance_a2,pbr_valid_a2,pbr_distance_a2,pbr_samples_a2,pbr_rmse_rad_a2,rtt_valid_a2,rtt_distance_a2,rtt_samples_a2,rtt_stddev_a2,corrected_distance_a2,filtered_distance_a2
2026-08-13T13:59:07.108196+00:00,accepted,3673.361,,,,0.750000,0.850000,0.750000,0.850000,0.000000,0.000000,146,PHASE,36,1.051000,1,1.051000,36,0.108800,1,3.523000,34,1.877000,1.133578,1.133578,144,PHASE,36,1.930000,1,1.930000,36,0.148600,1,1.743000,35,1.303000,1.133578,1.133578,156,PHASE,36,0.979000,1,0.979000,36,0.109900,1,1.790000,35,1.106000,0.350000,0.350000
2026-08-13T13:59:12.698795+00:00,accepted,3673.794,,,,0.731348,0.840436,0.745337,0.847609,0.009058,0.011386,147,PHASE,36,1.042000,1,1.042000,36,0.141000,1,2.900000,32,1.537000,1.130149,1.131864,145,PHASE,36,1.901000,1,1.901000,36,0.134000,1,2.253000,33,1.587000,1.078282,1.105930,157,PHASE,36,0.977000,1,0.977000,36,0.104800,1,1.622000,33,1.084000,0.347324,0.348662
2026-08-13T13:59:18.299046+00:00,accepted,3673.978,,,,0.711874,0.832380,0.736971,0.843802,0.017760,0.022267,148,PHASE,36,1.058000,1,1.058000,36,0.136900,1,3.281000,36,1.790000,1.136246,1.133578,146,PHASE,36,1.857000,1,1.857000,36,0.156900,1,1.607000,36,1.241000,0.994385,1.078282,158,PHASE,36,0.925000,1,0.925000,36,0.084100,1,1.663000,32,1.632000,0.277755,0.347324
2026-08-13T13:59:23.899166+00:00,accepted,3673.754,,,,0.705439,0.829397,0.729088,0.840201,0.019648,0.024610,149,PHASE,36,1.059000,1,1.059000,36,0.125600,1,2.930000,22,1.764000,1.136627,1.134912,147,PHASE,36,1.892000,1,1.892000,36,0.141900,1,2.669000,36,2.081000,1.061122,1.069702,159,PHASE,36,0.992000,1,0.992000,36,0.109600,1,2.078000,36,1.379000,0.367392,0.348662
2026-08-13T13:59:29.498891+00:00,accepted,3673.819,,,,0.711706,0.831123,0.724743,0.837931,0.016642,0.020859,150,PHASE,36,0.994000,1,0.994000,36,0.115200,1,3.883000,32,2.395000,1.111857,1.133578,148,PHASE,36,1.978000,1,1.978000,36,0.143400,1,1.845000,36,1.396000,1.225103,1.078282,160,PHASE,36,0.985000,1,0.985000,36,0.096300,1,1.732000,36,1.248000,0.358027,0.350000
2026-08-13T13:59:35.099030+00:00,accepted,3673.759,,,,0.708905,0.823506,0.720783,0.834325,0.016550,0.020703,151,PHASE,36,1.020000,1,1.020000,36,0.102800,1,3.452000,33,1.989000,1.121765,1.130149,149,PHASE,36,1.897000,1,1.897000,36,0.152600,1,1.459000,34,1.108000,1.070655,1.070655,161,PHASE,35,1.009000,1,1.009000,35,0.111400,1,1.675000,34,1.268000,0.390136,0.358027
2026-08-13T13:59:40.698450+00:00,accepted,3673.769,,,,0.715046,0.820362,0.719349,0.830834,0.018571,0.023216,152,PHASE,36,0.984000,1,0.984000,36,0.105800,1,3.710000,36,1.587000,1.108046,1.121765,150,PHASE,36,1.957000,1,1.957000,36,0.147500,1,0.873000,34,0.701000,1.185061,1.070655,162,PHASE,36,0.946000,1,0.946000,36,0.106300,1,1.459000,34,0.960000,0.305850,0.358027
2026-08-13T13:59:46.298255+00:00,accepted,3673.754,,,,0.718997,0.813653,0.719261,0.826539,0.016181,0.020196,153,PHASE,36,1.004000,1,1.004000,36,0.104000,1,3.689000,36,2.005000,1.115667,1.115667,151,PHASE,36,1.891000,1,1.891000,36,0.148300,1,1.782000,35,1.296000,1.059215,1.070655,163,PHASE,36,0.997000,1,0.997000,36,0.095100,1,2.064000,35,1.276000,0.374082,0.367392
2026-08-13T13:59:51.897883+00:00,accepted,3673.750,,,,0.732758,0.817588,0.722635,0.824301,0.006977,0.008719,154,PHASE,36,1.075000,1,1.075000,36,0.090800,1,2.898000,36,1.710000,1.142724,1.115667,152,PHASE,36,1.908000,1,1.908000,36,0.136300,1,2.081000,34,1.434000,1.091630,1.091630,164,PHASE,36,1.058000,1,1.058000,36,0.106600,1,1.740000,36,1.380000,0.455691,0.374082
2026-08-13T13:59:57.497680+00:00,accepted,3673.741,,,,0.729796,0.817062,0.724425,0.822491,0.004303,0.005376,155,PHASE,36,1.014000,1,1.014000,36,0.093700,1,3.875000,34,1.251000,1.119478,1.119478,153,PHASE,36,1.949000,1,1.949000,36,0.159200,1,1.739000,35,1.223000,1.169807,1.091630,165,PHASE,36,1.000000,1,1.000000,36,0.092000,1,1.994000,36,1.242000,0.378095,0.378095
2026-08-13T14:00:03.097517+00:00,accepted,3673.683,,,,0.729921,0.818979,0.725799,0.821613,0.005975,0.007469,156,PHASE,36,1.022000,1,1.022000,36,0.087700,1,3.477000,36,1.788000,1.122527,1.119478,154,PHASE,36,1.905000,1,1.905000,36,0.134200,1,1.438000,32,1.046000,1.085909,1.091630,166,PHASE,36,0.978000,1,0.978000,36,0.104400,1,2.046000,34,1.148000,0.348662,0.374082
2026-08-13T14:00:08.797534+00:00,accepted,3773.719,,,,0.727630,0.820098,0.726257,0.821234,0.005181,0.006479,157,PHASE,36,1.043000,1,1.043000,36,0.093000,1,3.272000,35,1.898000,1.130530,1.122527,155,PHASE,36,1.963000,1,1.963000,36,0.220000,1,1.593000,32,0.795000,1.196501,1.091630,167,PHASE,36,0.977000,1,0.977000,36,0.116200,1,1.508000,35,1.064000,0.347324,0.374082
2026-08-13T14:00:14.397167+00:00,accepted,3673.743,,,,0.753912,0.844722,0.733171,0.827106,0.005274,0.006637,158,PHASE,36,1.012000,1,1.012000,36,0.106900,1,3.481000,36,2.196000,1.118716,1.122527,156,PHASE,36,1.927000,1,1.927000,36,0.112100,1,1.478000,35,1.231000,1.127858,1.127858,168,PHASE,36,0.945000,1,0.945000,36,0.103400,1,1.772000,34,1.155000,0.304513,0.348662
2026-08-13T14:00:20.097287+00:00,accepted,3773.742,,,,0.756120,0.843658,0.738908,0.831244,0.006146,0.007732,159,PHASE,36,1.009000,1,1.009000,36,0.104900,1,4.347000,36,2.422000,1.117573,1.119478,157,PHASE,36,1.880000,1,1.880000,36,0.133700,1,1.662000,34,1.190000,1.038241,1.127858,169,PHASE,36,0.991000,1,0.991000,36,0.100400,1,1.909000,34,1.255000,0.366054,0.348662
2026-08-13T14:00:25.697145+00:00,accepted,3673.698,,,,0.724759,0.830214,0.735371,0.830987,0.017538,0.021985,160,PHASE,36,1.034000,1,1.034000,36,0.117500,1,3.843000,33,1.776000,1.127100,1.122527,158,PHASE,33,1.890000,1,1.890000,33,0.167700,1,1.326000,32,1.002000,1.057308,1.085909,170,PHASE,36,1.009000,1,1.009000,36,0.091600,1,1.900000,34,1.274000,0.390136,0.348662
2026-08-13T14:00:31.296892+00:00,accepted,3673.730,,,,0.729067,0.836403,0.733795,0.832341,0.013439,0.016875,161,PHASE,36,1.036000,1,1.036000,36,0.128400,1,3.229000,35,2.128000,1.127862,1.127100,159,PHASE,36,1.911000,1,1.911000,36,0.181300,1,1.794000,35,1.435000,1.097350,1.097350,171,PHASE,36,0.972000,1,0.972000,36,0.093900,1,1.750000,34,1.111000,0.340635,0.347324
2026-08-13T14:00:36.896632+00:00,accepted,3673.717,,,,0.728410,0.827544,0.732449,0.831142,0.005609,0.007027,162,PHASE,36,1.119000,1,1.119000,36,0.061200,1,2.861000,36,1.766000,1.159492,1.127100,160,PHASE,36,1.684000,1,1.684000,36,0.151800,1,2.035000,33,1.403000,1.097350,1.097350,172,PHASE,36,0.998000,1,0.998000,36,0.103500,1,2.137000,35,1.352000,0.375419,0.366054
2026-08-13T14:00:42.608886+00:00,distance_outlier,3773.622,,,,,,,,,,163,PHASE,36,1.055000,1,1.055000,36,0.101600,1,3.338000,30,2.037000,1.135103,1.127862,161,PHASE,35,1.872000,1,1.872000,35,0.159800,1,1.521000,34,1.122000,1.455820,,173,PHASE,36,1.026000,1,1.026000,36,0.078300,1,1.869000,34,1.187000,0.412880,0.375419
2026-08-13T14:00:48.195322+00:00,distance_outlier,3673.771,,,,,,,,,,164,PHASE,36,1.110000,1,1.110000,36,0.072200,1,3.411000,33,1.505000,1.156062,1.135103,162,PHASE,36,1.931000,1,1.931000,36,0.170100,1,1.212000,34,0.775000,1.568319,,174,PHASE,36,1.020000,1,1.020000,36,0.077800,1,1.658000,33,0.989000,0.404853,0.390136
2026-08-13T14:00:53.696302+00:00,accepted,3673.696,,,,1.061545,1.030406,0.814723,0.880958,0.032273,0.036250,165,PHASE,36,1.201000,1,1.201000,36,0.074300,1,2.756000,36,1.490000,1.190741,1.156062,163,PHASE,36,1.791000,1,1.791000,36,0.219600,1,2.047000,32,1.448000,1.301373,1.455820,175,PHASE,36,1.009000,1,1.009000,36,0.110500,1,2.103000,33,1.564000,0.390136,0.390136
2026-08-13T14:00:59.396169+00:00,accepted,3773.714,,,,1.095156,1.062942,0.884831,0.926454,0.017569,0.018763,166,PHASE,35,0.957000,1,0.957000,35,0.113300,1,3.191000,35,1.793000,1.097756,1.156062,164,PHASE,36,1.930000,1,1.930000,36,0.223100,1,2.012000,33,1.125000,1.566412,1.511116,176,PHASE,36,0.976000,1,0.976000,36,0.084100,1,1.755000,34,1.465000,0.345986,0.390136
2026-08-13T14:01:04.996230+00:00,accepted,3673.741,,,,1.064458,1.018247,0.929738,0.949402,0.024393,0.027617,167,PHASE,36,1.029000,1,1.029000,36,0.086900,1,3.010000,36,1.702000,1.125195,1.135103,165,PHASE,36,1.851000,1,1.851000,36,0.161700,1,1.524000,36,1.391000,1.415778,1.455820,177,PHASE,36,0.974000,1,0.974000,36,0.117200,1,1.726000,35,1.377000,0.343311,0.390136
