host_time_utc,status,skew_ms,ground_truth_x_m,ground_truth_y_m,error_m,solver_x_m,solver_y_m,filtered_x_m,filtered_y_m,solver_rmse_m,solver_max_residual_m,sequence_a0,method_a0,samples_a0,raw_distance_a0,pbr_valid_a0,pbr_distance_a0,pbr_samples_a0,pbr_rmse_rad_a0,rtt_valid_a0,rtt_distance_a0,rtt_samples_a0,rtt_stddev_a0,corrected_distance_a0,filtered_distance_a0,sequence_a1,method_a1,samples_a1,raw_distance_a1,pbr_valid_a1,pbr_distance_a1,pbr_samples_a1,pbr_rmse_rad_a1,rtt_valid_a1,rtt_distance_a1,rtt_samples_a1,rtt_stddev_a1,corrected_distance_a1,filtered_distance_a1,sequence_a2,method_a2,samples_a2,raw_distance_a2,pbr_valid_a2,pbr_distance_a2,pbr_samples_a2,pbr_rmse_rad_a2,rtt_valid_a2,rtt_distance_a2,rtt_samples_a2,rtt_stddev_a2,corrected_distance_a2,filtered_distance_a2
2026-08-13T14:04:47.114272+00:00,accepted,3682.581,,,,0.750000,0.850000,0.750000,0.850000,0.000000,0.000000,202,PHASE,36,1.065000,1,1.065000,36,0.143700,1,2.756000,36,1.659000,1.133578,1.133578,200,PHASE,36,1.831000,1,1.831000,36,0.197600,1,1.708000,33,1.159000,1.133578,1.133578,212,PHASE,36,0.973000,1,0.973000,36,0.104000,1,1.437000,34,0.862000,0.350000,0.350000
2026-08-13T14:04:52.614536+00:00,accepted,3682.886,,,,0.749392,0.836018,0.749848,0.846504,0.012836,0.016119,203,PHASE,36,1.069000,1,1.069000,36,0.113200,1,3.790000,35,1.515000,1.135103,1.134341,201,PHASE,36,1.831000,1,1.831000,36,0.124000,1,1.891000,34,1.462000,1.133578,1.133578,213,PHASE,36,1.018000,1,1.018000,36,0.095700,1,1.807000,35,1.229000,0.410204,0.380102
2026-08-13T14:04:58.214752+00:00,accepted,3683.614,,,,0.750000,0.828395,0.749886,0.841977,0.019056,0.023883,204,PHASE,36,1.045000,1,1.045000,36,0.133900,1,3.352000,36,1.751000,1.125957,1.133578,202,PHASE,36,1.774000,1,1.774000,36,0.198300,1,2.003000,36,1.543000,1.024893,1.133578,214,PHASE,36,1.007000,1,1.007000,36,0.088000,1,1.444000,33,1.157000,0.395487,0.395487
2026-08-13T14:05:03.814249+00:00,accepted,3683.251,,,,0.749368,0.825134,0.749757,0.837766,0.022343,0.027979,205,PHASE,36,1.070000,1,1.070000,36,0.118800,1,2.703000,34,1.686000,1.135484,1.134341,203,PHASE,36,1.856000,1,1.856000,36,0.153700,1,1.639000,32,1.241000,1.181247,1.133578,215,PHASE,36,1.039000,1,1.039000,36,0.106800,1,1.709000,35,1.016000,0.438299,0.402846
2026-08-13T14:05:09.414190+00:00,accepted,3683.573,,,,0.750000,0.828395,0.749817,0.835424,0.019056,0.023883,206,PHASE,36,1.003000,1,1.003000,36,0.116300,1,3.387000,32,2.271000,1.109951,1.133578,204,PHASE,36,1.864000,1,1.864000,36,0.189300,1,1.935000,34,1.435000,1.196501,1.133578,216,PHASE,36,0.987000,1,0.987000,36,0.085100,1,1.911000,36,1.394000,0.368730,0.395487
2026-08-13T14:05:15.014412+00:00,accepted,3683.563,,,,0.791359,0.846964,0.760203,0.838309,0.031830,0.040038,207,PHASE,36,1.086000,1,1.086000,36,0.123700,1,2.784000,35,1.599000,1.141581,1.135103,205,PHASE,36,1.911000,1,1.911000,36,0.190600,1,1.274000,32,0.933000,1.286119,1.181247,217,PHASE,36,0.992000,1,0.992000,36,0.112300,1,1.949000,36,1.390000,0.375419,0.395487
2026-08-13T14:05:20.614011+00:00,accepted,3683.870,,,,0.789545,0.856511,0.767538,0.842859,0.023530,0.029662,208,PHASE,36,1.078000,1,1.078000,36,0.143400,1,2.535000,33,1.926000,1.138533,1.135484,206,PHASE,36,1.799000,1,1.799000,36,0.220500,1,1.808000,33,1.466000,1.072562,1.181247,218,PHASE,35,0.982000,1,0.982000,35,0.102000,1,1.359000,31,1.163000,0.362041,0.375419
2026-08-13T14:05:26.213928+00:00,accepted,3683.833,,,,0.789545,0.856511,0.773040,0.846272,0.023530,0.029662,209,PHASE,36,1.009000,1,1.009000,36,0.134700,1,3.173000,36,1.654000,1.112238,1.135484,207,PHASE,36,1.776000,1,1.776000,36,0.173700,1,1.965000,36,1.451000,1.028707,1.181247,219,PHASE,36,1.021000,1,1.021000,36,0.086000,1,1.616000,36,1.274000,0.414218,0.375419
2026-08-13T14:05:31.913960+00:00,accepted,3684.326,,,,0.809274,0.860701,0.782098,0.849879,0.024593,0.030982,210,PHASE,36,1.052000,1,1.052000,36,0.118100,1,3.492000,34,2.052000,1.128624,1.128624,208,PHASE,34,1.867000,1,1.867000,34,0.161900,1,1.781000,34,1.336000,1.202222,1.196501,220,PHASE,36,1.002000,1,1.002000,36,0.110100,1,1.924000,36,1.400000,0.388798,0.375419
2026-08-13T14:05:37.613488+00:00,distance_outlier,3784.939,,,,,,,,,,211,PHASE,36,1.079000,1,1.079000,36,0.100000,1,3.157000,34,1.817000,1.138914,1.138533,209,PHASE,34,2.557000,1,2.557000,34,0.132100,1,1.662000,34,1.080000,1.202222,1.202222,221,PHASE,36,1.214000,1,1.214000,36,0.097700,1,1.993000,34,1.568000,0.672426,
2026-08-13T14:05:57.226059+00:00,distance_outlier,3641.001,,,,,,,,,,215,PHASE,31,1.950000,1,1.950000,31,0.460900,1,1.915000,31,1.172000,1.470838,,212,PHASE,33,1.756000,1,1.756000,33,0.448300,1,1.368000,31,0.991000,1.202222,1.202222,224,PHASE,36,1.360000,1,1.360000,36,0.091300,1,2.073000,29,1.346000,0.867754,
2026-08-13T14:06:02.727445+00:00,accepted,3640.770,,,,0.816589,0.857051,0.790721,0.851672,0.031353,0.039444,216,PHASE,36,1.046000,1,1.046000,36,0.272100,1,3.264000,36,1.884000,1.126338,1.128624,213,PHASE,36,1.708000,1,1.708000,36,0.476500,1,1.935000,33,1.454000,1.110697,1.202222,225,PHASE,36,1.077000,1,1.077000,36,0.097900,1,1.733000,34,1.228000,0.489138,0.388798
2026-08-13T14:06:08.427036+00:00,accepted,3840.595,,,,0.819806,0.845295,0.797992,0.850078,0.042000,0.052709,217,PHASE,35,1.216000,1,1.216000,35,0.323900,1,3.439000,34,2.052000,1.191122,1.128624,214,PHASE,36,1.384000,1,1.384000,36,0.069000,1,1.843000,34,1.430000,1.110697,1.202222,226,PHASE,36,1.437000,1,1.437000,36,0.510500,1,1.957000,35,1.484000,0.489138,0.414218
2026-08-13T14:06:14.026379+00:00,accepted,3740.537,,,,0.732974,0.816003,0.781738,0.841559,0.023892,0.029843,218,PHASE,36,1.236000,1,1.236000,36,0.267800,1,2.445000,35,1.379000,1.198744,1.138914,215,PHASE,36,1.388000,1,1.388000,36,0.060000,1,1.930000,32,1.515000,1.118324,1.118324,227,PHASE,36,1.226000,1,1.226000,36,0.524000,1,1.749000,36,1.237000,0.206848,0.414218
